index,cwe key word,matched key word,file,func,hunk,function_name,note,repo,branch,url,testcase
1,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),0,0,[],,ambari,,https://github.com/apache/ambari/commit/d9652e4611ea36208d5f748028b3a9cd980e6edb,0
2,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(1),7,0,"['private static String writeFile', 'public static boolean publishReports', 'def', 'public void fileNameWithSpecialCharactersAndSingleSlash', 'public void fileNameWithSpecialCharactersAndMultipleSlashes', 'void', 'function']",,htmlpublisher-plugin,,https://github.com/jenkinsci/htmlpublisher-plugin/commit/c0eed940e65ea90f9b5ba21aa3d953546d5cd8ad,1
3,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(0),0,0,[],,sofa-rpc,,https://github.com/sofastack/sofa-rpc/commit/d08e25824ae9feaf0876adba9acd2938f34759b1,0
4,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},5(4),7,0,"['public static void addWebServerHandlers', 'public void addServlet', 'public void addRestResources', 'int', 'public List<ConnectionStats> metrics', 'void', 'ProxyService']",,pulsar,,https://github.com/apache/pulsar/commit/084347c801185f14e42e7d399327092efbed101f,0
